"severity","economic_crash_unit_cost","QALY_crash_unit_cost","comprehensive"
"K",1597082.14176713,9728956.42144508,11326038.5632122
"A",120734.864374883,530569.644194358,651304.50856924
"B",51073.5933670198,150149.33244977,201222.92581679
"C",38815.2611881083,81747.9549122833,120563.216100392
"O",11095.621389811,0,11095.621389811
